Actif;Creneau;LOW %;MED %;HIGH %;EXPLO %;n
GASOLINE;16:30-17:00;4,35;60,87;34,78;0,00;23
GASOLINE;17:00-17:30;22,73;50,00;27,27;0,00;22
GASOLINE;17:30-18:00;0,00;63,16;26,32;10,53;19
GASOLINE;18:00-18:30;0,00;5,56;0,00;94,44;18
GASOLINE;18:30-19:00;29,41;52,94;17,65;0,00;17
GASOLINE;TOTAL;13,06;39,39;29,39;18,16;490
GBPUSD;08:00-08:30;20,00;40,00;33,33;6,67;15
GBPUSD;08:30-09:00;23,81;61,90;9,52;4,76;21
GBPUSD;09:00-09:30;26,09;65,22;8,70;0,00;23
GBPUSD;09:30-10:00;29,17;58,33;12,50;0,00;24
GBPUSD;10:00-10:30;33,33;66,67;0,00;0,00;24
GBPUSD;10:30-11:00;25,00;66,67;8,33;0,00;24
GBPUSD;11:00-11:30;25,00;58,33;16,67;0,00;24
GBPUSD;11:30-12:00;33,33;58,33;8,33;0,00;24
GBPUSD;12:00-12:30;45,83;33,33;16,67;4,17;24
GBPUSD;12:30-13:00;8,33;50,00;33,33;8,33;24
GBPUSD;13:00-13:30;20,83;54,17;12,50;12,50;24
GBPUSD;13:30-14:00;16,67;45,83;25,00;12,50;24
GBPUSD;14:00-14:30;4,17;33,33;37,50;25,00;24
GBPUSD;14:30-15:00;0,00;34,78;47,83;17,39;23
GBPUSD;15:00-15:30;8,70;56,52;21,74;13,04;23
GBPUSD;15:30-16:00;0,00;56,52;39,13;4,35;23
GBPUSD;16:00-16:30;17,39;52,17;26,09;4,35;23
GBPUSD;16:30-17:00;21,74;47,83;30,43;0,00;23
GBPUSD;17:00-17:30;27,27;36,36;31,82;4,55;22
GBPUSD;17:30-18:00;15,79;73,68;10,53;0,00;19
GBPUSD;18:00-18:30;16,67;61,11;22,22;0,00;18
GBPUSD;18:30-19:00;29,41;47,06;23,53;0,00;17
GBPUSD;TOTAL;20,41;52,65;21,43;5,51;490
GERMANY_40;08:00-08:30;0,00;13,33;60,00;26,67;15
GERMANY_40;08:30-09:00;4,76;33,33;57,14;4,76;21
GERMANY_40;09:00-09:30;0,00;21,74;78,26;0,00;23
GERMANY_40;09:30-10:00;0,00;45,83;50,00;4,17;24
GERMANY_40;10:00-10:30;4,17;50,00;41,67;4,17;24
GERMANY_40;10:30-11:00;0,00;50,00;45,83;4,17;24
GERMANY_40;11:00-11:30;0,00;37,50;62,50;0,00;24
GERMANY_40;11:30-12:00;0,00;25,00;75,00;0,00;24
GERMANY_40;12:00-12:30;4,17;50,00;45,83;0,00;24
GERMANY_40;12:30-13:00;0,00;25,00;66,67;8,33;24
GERMANY_40;13:00-13:30;0,00;12,50;62,50;25,00;24
GERMANY_40;13:30-14:00;0,00;8,33;50,00;41,67;24
GERMANY_40;14:00-14:30;4,17;4,17;45,83;45,83;24
GERMANY_40;14:30-15:00;0,00;4,35;73,91;21,74;23
GERMANY_40;15:00-15:30;0,00;13,04;73,91;13,04;23
GERMANY_40;15:30-16:00;8,70;39,13;47,83;4,35;23
GERMANY_40;16:00-16:30;21,74;39,13;34,78;4,35;23
GERMANY_40;16:30-17:00;17,39;52,17;30,43;0,00;23
GERMANY_40;17:00-17:30;22,73;68,18;9,09;0,00;22
GERMANY_40;17:30-18:00;21,05;63,16;15,79;0,00;19
GERMANY_40;18:00-18:30;27,78;38,89;27,78;5,56;18
GERMANY_40;18:30-19:00;5,88;82,35;11,76;0,00;17
GERMANY_40;TOTAL;6,12;34,69;49,39;9,80;490
GOLD;08:00-08:30;26,67;60,00;6,67;6,67;15
GOLD;08:30-09:00;76,19;19,05;4,76;0,00;21
GOLD;09:00-09:30;69,57;21,74;8,70;0,00;23
GOLD;09:30-10:00;62,50;25,00;12,50;0,00;24
GOLD;10:00-10:30;83,33;16,67;0,00;0,00;24
GOLD;10:30-11:00;75,00;25,00;0,00;0,00;24
GOLD;11:00-11:30;79,17;20,83;0,00;0,00;24
GOLD;11:30-12:00;54,17;45,83;0,00;0,00;24
GOLD;12:00-12:30;50,00;37,50;12,50;0,00;24
GOLD;12:30-13:00;20,83;45,83;25,00;8,33;24
GOLD;13:00-13:30;8,33;41,67;33,33;16,67;24
GOLD;13:30-14:00;4,17;20,83;45,83;29,17;24
GOLD;14:00-14:30;4,17;12,50;62,50;20,83;24
GOLD;14:30-15:00;8,70;30,43;47,83;13,04;23
GOLD;15:00-15:30;4,35;39,13;52,17;4,35;23
GOLD;15:30-16:00;21,74;56,52;21,74;0,00;23
GOLD;16:00-16:30;47,83;47,83;4,35;0,00;23
GOLD;16:30-17:00;52,17;43,48;4,35;0,00;23
GOLD;17:00-17:30;27,27;22,73;31,82;18,18;22
GOLD;17:30-18:00;57,89;42,11;0,00;0,00;19
GOLD;18:00-18:30;50,00;33,33;11,11;5,56;18
GOLD;18:30-19:00;82,35;11,76;0,00;5,88;17
GOLD;TOTAL;43,47;32,45;18,16;5,92;490
SILVER;08:00-08:30;40,00;53,33;0,00;6,67;15
SILVER;08:30-09:00;80,95;14,29;4,76;0,00;21
SILVER;09:00-09:30;73,91;26,09;0,00;0,00;23
SILVER;09:30-10:00;70,83;20,83;8,33;0,00;24
SILVER;10:00-10:30;83,33;16,67;0,00;0,00;24
SILVER;10:30-11:00;75,00;25,00;0,00;0,00;24
SILVER;11:00-11:30;79,17;20,83;0,00;0,00;24
SILVER;11:30-12:00;70,83;29,17;0,00;0,00;24
SILVER;12:00-12:30;50,00;50,00;0,00;0,00;24
SILVER;12:30-13:00;8,33;70,83;16,67;4,17;24
SILVER;13:00-13:30;0,00;70,83;29,17;0,00;24
SILVER;13:30-14:00;4,17;29,17;58,33;8,33;24
SILVER;14:00-14:30;4,17;29,17;62,50;4,17;24
SILVER;14:30-15:00;4,35;56,52;39,13;0,00;23
SILVER;15:00-15:30;13,04;60,87;26,09;0,00;23
SILVER;15:30-16:00;26,09;65,22;8,70;0,00;23
SILVER;16:00-16:30;34,78;47,83;17,39;0,00;23
SILVER;16:30-17:00;43,48;52,17;4,35;0,00;23
SILVER;17:00-17:30;31,82;50,00;18,18;0,00;22
SILVER;17:30-18:00;68,42;21,05;10,53;0,00;19
SILVER;18:00-18:30;27,78;66,67;5,56;0,00;18
SILVER;18:30-19:00;52,94;41,18;5,88;0,00;17
SILVER;TOTAL;42,65;41,43;14,90;1,02;490
UK_100;08:00-08:30;0,00;26,67;40,00;33,33;15
UK_100;08:30-09:00;4,76;28,57;57,14;9,52;21
UK_100;09:00-09:30;0,00;60,87;34,78;4,35;23
UK_100;09:30-10:00;8,33;45,83;41,67;4,17;24
UK_100;10:00-10:30;8,33;54,17;29,17;8,33;24
UK_100;10:30-11:00;4,17;41,67;54,17;0,00;24
UK_100;11:00-11:30;4,17;54,17;37,50;4,17;24
UK_100;11:30-12:00;0,00;66,67;33,33;0,00;24
UK_100;12:00-12:30;8,33;62,50;29,17;0,00;24
UK_100;12:30-13:00;4,17;50,00;37,50;8,33;24
UK_100;13:00-13:30;0,00;12,50;75,00;12,50;24
UK_100;13:30-14:00;0,00;16,67;45,83;37,50;24
UK_100;14:00-14:30;0,00;12,50;58,33;29,17;24
UK_100;14:30-15:00;0,00;21,74;56,52;21,74;23
UK_100;15:00-15:30;0,00;4,35;43,48;52,17;23
UK_100;15:30-16:00;4,35;65,22;30,43;0,00;23
UK_100;16:00-16:30;17,39;47,83;30,43;4,35;23
UK_100;16:30-17:00;34,78;60,87;4,35;0,00;23
UK_100;17:00-17:30;27,27;72,73;0,00;0,00;22
UK_100;17:30-18:00;42,11;52,63;5,26;0,00;19
UK_100;18:00-18:30;50,00;38,89;5,56;5,56;18
UK_100;18:30-19:00;35,29;58,82;5,88;0,00;17
UK_100;TOTAL;10,61;43,47;35,31;10,61;490
USDCAD;08:00-08:30;13,33;66,67;13,33;6,67;15
USDCAD;08:30-09:00;33,33;47,62;19,05;0,00;21
USDCAD;09:00-09:30;0,00;78,26;21,74;0,00;23
USDCAD;09:30-10:00;12,50;54,17;33,33;0,00;24
USDCAD;10:00-10:30;25,00;54,17;20,83;0,00;24
USDCAD;10:30-11:00;16,67;58,33;25,00;0,00;24
USDCAD;11:00-11:30;12,50;62,50;25,00;0,00;24
USDCAD;11:30-12:00;16,67;75,00;8,33;0,00;24
USDCAD;12:00-12:30;20,83;29,17;50,00;0,00;24
USDCAD;12:30-13:00;8,33;37,50;41,67;12,50;24
USDCAD;13:00-13:30;4,17;37,50;37,50;20,83;24
USDCAD;13:30-14:00;4,17;41,67;41,67;12,50;24
USDCAD;14:00-14:30;0,00;16,67;54,17;29,17;24
USDCAD;14:30-15:00;0,00;26,09;60,87;13,04;23
USDCAD;15:00-15:30;4,35;52,17;43,48;0,00;23
USDCAD;15:30-16:00;0,00;34,78;56,52;8,70;23
USDCAD;16:00-16:30;4,35;60,87;30,43;4,35;23
USDCAD;16:30-17:00;8,70;56,52;30,43;4,35;23
USDCAD;17:00-17:30;13,64;54,55;27,27;4,55;22
USDCAD;17:30-18:00;36,84;47,37;15,79;0,00;19
USDCAD;18:00-18:30;27,78;55,56;16,67;0,00;18
USDCAD;18:30-19:00;5,88;58,82;29,41;5,88;17
USDCAD;TOTAL;11,84;49,80;32,65;5,71;490
USDCHF;08:00-08:30;0,00;46,67;46,67;6,67;15
USDCHF;08:30-09:00;4,76;71,43;23,81;0,00;21
USDCHF;09:00-09:30;4,35;69,57;26,09;0,00;23
USDCHF;09:30-10:00;16,67;54,17;29,17;0,00;24
USDCHF;10:00-10:30;12,50;62,50;25,00;0,00;24
USDCHF;10:30-11:00;12,50;58,33;29,17;0,00;24
USDCHF;11:00-11:30;12,50;66,67;20,83;0,00;24
USDCHF;11:30-12:00;16,67;50,00;33,33;0,00;24
USDCHF;12:00-12:30;8,33;37,50;50,00;4,17;24
USDCHF;12:30-13:00;4,17;37,50;50,00;8,33;24
USDCHF;13:00-13:30;0,00;37,50;50,00;12,50;24
USDCHF;13:30-14:00;0,00;37,50;58,33;4,17;24
USDCHF;14:00-14:30;0,00;16,67;66,67;16,67;24
USDCHF;14:30-15:00;0,00;13,04;60,87;26,09;23
USDCHF;15:00-15:30;8,70;47,83;39,13;4,35;23
USDCHF;15:30-16:00;0,00;34,78;60,87;4,35;23
USDCHF;16:00-16:30;13,04;52,17;30,43;4,35;23
USDCHF;16:30-17:00;13,04;52,17;30,43;4,35;23
USDCHF;17:00-17:30;27,27;40,91;27,27;4,55;22
USDCHF;17:30-18:00;21,05;42,11;36,84;0,00;19
USDCHF;18:00-18:30;22,22;61,11;16,67;0,00;18
USDCHF;18:30-19:00;0,00;70,59;17,65;11,76;17
USDCHF;TOTAL;8,98;47,76;38,16;5,10;490
USDJPY;08:00-08:30;0,00;33,33;60,00;6,67;15
USDJPY;08:30-09:00;14,29;33,33;52,38;0,00;21
USDJPY;09:00-09:30;8,70;39,13;47,83;4,35;23
USDJPY;09:30-10:00;12,50;62,50;25,00;0,00;24
USDJPY;10:00-10:30;20,83;50,00;25,00;4,17;24
USDJPY;10:30-11:00;20,83;45,83;29,17;4,17;24
USDJPY;11:00-11:30;25,00;29,17;45,83;0,00;24
USDJPY;11:30-12:00;25,00;37,50;37,50;0,00;24
USDJPY;12:00-12:30;16,67;41,67;41,67;0,00;24
USDJPY;12:30-13:00;8,33;37,50;37,50;16,67;24
USDJPY;13:00-13:30;4,17;37,50;37,50;20,83;24
USDJPY;13:30-14:00;8,33;41,67;41,67;8,33;24
USDJPY;14:00-14:30;4,17;25,00;62,50;8,33;24
USDJPY;14:30-15:00;0,00;17,39;69,57;13,04;23
USDJPY;15:00-15:30;21,74;30,43;34,78;13,04;23
USDJPY;15:30-16:00;8,70;60,87;26,09;4,35;23
USDJPY;16:00-16:30;17,39;43,48;34,78;4,35;23
USDJPY;16:30-17:00;17,39;56,52;26,09;0,00;23
USDJPY;17:00-17:30;18,18;45,45;31,82;4,55;22
USDJPY;17:30-18:00;31,58;47,37;15,79;5,26;19
USDJPY;18:00-18:30;22,22;55,56;16,67;5,56;18
USDJPY;18:30-19:00;0,00;58,82;35,29;5,88;17
USDJPY;TOTAL;14,08;42,04;37,96;5,92;490
US_30;08:00-08:30;13,33;66,67;13,33;6,67;15
US_30;08:30-09:00;42,86;42,86;14,29;0,00;21
US_30;09:00-09:30;43,48;56,52;0,00;0,00;23
US_30;09:30-10:00;45,83;54,17;0,00;0,00;24
US_30;10:00-10:30;50,00;50,00;0,00;0,00;24
US_30;10:30-11:00;50,00;45,83;4,17;0,00;24
US_30;11:00-11:30;45,83;50,00;4,17;0,00;24
US_30;11:30-12:00;41,67;54,17;4,17;0,00;24
US_30;12:00-12:30;20,83;54,17;25,00;0,00;24
US_30;12:30-13:00;12,50;70,83;16,67;0,00;24
US_30;13:00-13:30;4,17;29,17;54,17;12,50;24
US_30;13:30-14:00;0,00;4,17;29,17;66,67;24
US_30;14:00-14:30;0,00;4,17;45,83;50,00;24
US_30;14:30-15:00;4,35;0,00;65,22;30,43;23
US_30;15:00-15:30;0,00;8,70;73,91;17,39;23
US_30;15:30-16:00;4,35;30,43;60,87;4,35;23
US_30;16:00-16:30;4,35;39,13;52,17;4,35;23
US_30;16:30-17:00;4,35;52,17;43,48;0,00;23
US_30;17:00-17:30;4,55;50,00;45,45;0,00;22
US_30;17:30-18:00;0,00;68,42;26,32;5,26;19
US_30;18:00-18:30;5,56;66,67;22,22;5,56;18
US_30;18:30-19:00;5,88;58,82;29,41;5,88;17
US_30;TOTAL;18,98;42,45;28,78;9,80;490
US_500;08:00-08:30;0,00;13,33;66,67;20,00;15
US_500;08:30-09:00;9,52;38,10;47,62;4,76;21
US_500;09:00-09:30;4,35;30,43;65,22;0,00;23
US_500;09:30-10:00;12,50;50,00;33,33;4,17;24
US_500;10:00-10:30;20,83;16,67;62,50;0,00;24
US_500;10:30-11:00;0,00;50,00;50,00;0,00;24
US_500;11:00-11:30;16,67;29,17;54,17;0,00;24
US_500;11:30-12:00;4,17;54,17;41,67;0,00;24
US_500;12:00-12:30;0,00;33,33;62,50;4,17;24
US_500;12:30-13:00;12,50;25,00;41,67;20,83;24
US_500;13:00-13:30;4,17;4,17;75,00;16,67;24
US_500;13:30-14:00;0,00;4,17;16,67;79,17;24
US_500;14:00-14:30;0,00;4,17;33,33;62,50;24
US_500;14:30-15:00;4,35;4,35;34,78;56,52;23
US_500;15:00-15:30;0,00;4,35;56,52;39,13;23
US_500;15:30-16:00;8,70;8,70;65,22;17,39;23
US_500;16:00-16:30;4,35;21,74;65,22;8,70;23
US_500;16:30-17:00;4,35;17,39;73,91;4,35;23
US_500;17:00-17:30;18,18;18,18;63,64;0,00;22
US_500;17:30-18:00;5,26;21,05;63,16;10,53;19
US_500;18:00-18:30;11,11;16,67;66,67;5,56;18
US_500;18:30-19:00;5,88;35,29;52,94;5,88;17
US_500;TOTAL;6,73;22,86;53,67;16,73;490
US_TECH100;08:00-08:30;20,00;66,67;6,67;6,67;15
US_TECH100;08:30-09:00;52,38;42,86;4,76;0,00;21
US_TECH100;09:00-09:30;43,48;52,17;4,35;0,00;23
US_TECH100;09:30-10:00;58,33;41,67;0,00;0,00;24
US_TECH100;10:00-10:30;58,33;41,67;0,00;0,00;24
US_TECH100;10:30-11:00;50,00;50,00;0,00;0,00;24
US_TECH100;11:00-11:30;45,83;50,00;4,17;0,00;24
US_TECH100;11:30-12:00;20,83;75,00;4,17;0,00;24
US_TECH100;12:00-12:30;20,83;75,00;4,17;0,00;24
US_TECH100;12:30-13:00;8,33;62,50;29,17;0,00;24
US_TECH100;13:00-13:30;4,17;12,50;75,00;8,33;24
US_TECH100;13:30-14:00;0,00;4,17;4,17;91,67;24
US_TECH100;14:00-14:30;4,17;0,00;8,33;87,50;24
US_TECH100;14:30-15:00;4,35;0,00;26,09;69,57;23
US_TECH100;15:00-15:30;4,35;4,35;56,52;34,78;23
US_TECH100;15:30-16:00;4,35;13,04;52,17;30,43;23
US_TECH100;16:00-16:30;4,35;17,39;73,91;4,35;23
US_TECH100;16:30-17:00;0,00;34,78;60,87;4,35;23
